Actions: [(5,), (6,), (1,), (2,), (4,), (3,), (5, 6), (5, 1), (5, 2), (5, 4), (5, 3), (6, 1), (6, 2), (6, 4), (6, 3), (1, 2), (1, 4), (1, 3), (2, 4), (2, 3), (4, 3)]
Episode 0 of 40000
         2505781 function calls (2451342 primitive calls) in 20.422 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18624    4.700    0.000    4.708    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2122    2.670    0.001    2.670    0.001 {method 'item' of 'torch._C._TensorBase' objects}
     3714    1.749    0.000    1.755    0.000 KirbyGame.py:53(tick)
      904    1.736    0.002    2.503    0.003 learning_agent.py:180(td_target)
      904    0.995    0.001    1.442    0.002 learning_agent.py:172(td_estimate)
    18656    0.958    0.000    0.958    0.000 {built-in method tensor}
      904    0.809    0.001    0.809    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
     3714    0.717    0.000    2.940    0.001 CustomGym.py:74(step)
     7996    0.489    0.000    0.489    0.000 {built-in method numpy.array}
     8193    0.476    0.000    0.476    0.000 {built-in method conv2d}
     9236    0.285    0.000    0.285    0.000 {method 'float' of 'torch._C._TensorBase' objects}
     3714    0.271    0.000    0.296    0.000 shape_base.py:219(vstack)
      101    0.260    0.003    0.262    0.003 {built-in method _imp.create_dynamic}
     5462    0.229    0.000    0.229    0.000 {built-in method torch._C._nn.linear}
      905    0.221    0.000    0.348    0.000 learning_agent.py:102(recall)
      904    0.170    0.000    0.704    0.001 _functional.py:64(adam)
    18080    0.167    0.000    0.167    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
    10924    0.160    0.000    0.160    0.000 {built-in method relu}
       13    0.143    0.011    0.143    0.011 {built-in method torch._C._cuda_getDeviceCount}
    18080    0.142    0.000    0.142    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
      876    0.112    0.000    0.112    0.000 {built-in method marshal.loads}
      907    0.110    0.000    0.110    0.000 {method 'read' of '_io.BufferedReader' objects}
     3714    0.092    0.000    3.399    0.001 learning_agent.py:86(cache)
        1    0.086    0.086   20.431   20.431 train_platformer.py:1(<module>)
     9040    0.077    0.000    0.077    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
33676/3635    0.072    0.000    1.226    0.000 module.py:1104(_call_impl)
     9040    0.072    0.000    0.072    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
     7303    0.071    0.000    0.114    0.000 inspect.py:744(cleandoc)
     9040    0.069    0.000    0.069    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
     2731    0.057    0.000    1.122    0.000 container.py:139(forward)
     9030    0.054    0.000    0.054    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
      905    0.051    0.000    0.119    0.000 random.py:406(sample)
3385/3227    0.051    0.000    0.472    0.000 {built-in method builtins.__build_class__}
     3716    0.049    0.000    0.099    0.000 KirbyGame.py:134(get_observation)
    62541    0.045    0.000    0.063    0.000 random.py:239(_randbelow_with_getrandbits)
    22263    0.044    0.000    0.044    0.000 CustomGym.py:48(get_actions)
        1    0.041    0.041    0.041    0.041 KirbyGame.py:34(__init__)
       10    0.040    0.004    0.040    0.004 {method 'uniform_' of 'torch._C._TensorBase' objects}
      904    0.037    0.000    0.774    0.001 adam.py:89(step)
     9955    0.036    0.000    0.036    0.000 {method 'search' of 're.Pattern' objects}
    81350    0.036    0.000    0.044    0.000 _tensor.py:1092(grad)
      904    0.035    0.000    0.035    0.000 {built-in method torch._C._nn.smooth_l1_loss}
     3719    0.034    0.000    0.034    0.000 {built-in method numpy.zeros}
      904    0.030    0.000    0.138    0.000 optimizer.py:189(zero_grad)
    33748    0.029    0.000    0.029    0.000 {built-in method torch._C._get_tracing_state}
      904    0.027    0.000    0.027    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
     3714    0.027    0.000    8.981    0.002 learning_agent.py:114(learn)
     8193    0.026    0.000    0.525    0.000 conv.py:446(forward)
      461    0.023    0.000    0.023    0.000 {built-in method builtins.dir}
    30179    0.023    0.000    0.023    0.000 module.py:1172(__getattr__)
       24    0.021    0.001    0.021    0.001 {method 'poll' of 'select.poll' objects}
    81194    0.020    0.000    0.024    0.000 {built-in method builtins.getattr}
   109096    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
104125/104083    0.019    0.000    0.026    0.000 {built-in method builtins.isinstance}
     4309    0.019    0.000    0.019    0.000 {built-in method posix.stat}
     1808    0.018    0.000    0.018    0.000 {built-in method torch._ops.profiler._record_function_enter}
      904    0.018    0.000    0.018    0.000 {built-in method rsub}
     2731    0.018    0.000    0.018    0.000 {method 'flatten' of 'torch._C._TensorBase' objects}
175634/173935    0.018    0.000    0.018    0.000 {built-in method builtins.len}
      923    0.018    0.000    0.018    0.000 {built-in method argmax}
  838/294    0.017    0.000    0.043    0.000 sre_parse.py:494(_parse)
     5462    0.017    0.000    0.253    0.000 linear.py:102(forward)
     3714    0.017    0.000    0.068    0.000 learning_agent.py:58(act)
      223    0.017    0.000    0.051    0.000 artist.py:1517(get_setters)
     3714    0.016    0.000    0.021    0.000 shape_base.py:81(atleast_2d)
     1808    0.015    0.000    0.015    0.000 {built-in method zeros}
      878    0.014    0.000    0.014    0.000 {built-in method io.open_code}
      905    0.014    0.000    0.014    0.000 {built-in method ones_like}
      223    0.014    0.000    0.026    0.000 artist.py:1453(<listcomp>)
   104346    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
     8193    0.013    0.000    0.489    0.000 conv.py:438(_conv_forward)
     4252    0.013    0.000    0.165    0.000 artist.py:1470(get_valid_values)
   101/14    0.013    0.000    0.554    0.040 {built-in method _imp.exec_dynamic}
     1838    0.013    0.000    0.013    0.000 {built-in method numpy.arange}
    10924    0.013    0.000    0.176    0.000 functional.py:1431(relu)
       40    0.012    0.000    0.012    0.000 {built-in method _posixsubprocess.fork_exec}
     1386    0.012    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      223    0.012    0.000    0.077    0.000 artist.py:1442(get_aliases)
   102681    0.012    0.000    0.012    0.000 {built-in method torch._C._has_torch_function_unary}
    10924    0.012    0.000    0.187    0.000 activation.py:97(forward)
     1808    0.011    0.000    3.317    0.002 grad_mode.py:24(decorate_context)
    89602    0.011    0.000    0.011    0.000 {method 'getrandbits' of '_random.Random' objects}
    56142    0.011    0.000    0.011    0.000 {built-in method builtins.min}
     2731    0.010    0.000    1.146    0.000 model.py:40(forward)
    21251    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
     3695    0.010    0.000    0.021    0.000 random.py:292(randrange)
22539/22530    0.010    0.000    0.012    0.000 {method 'join' of 'str' objects}
      905    0.010    0.000    0.032    0.000 lr_scheduler.py:119(step)
    61234    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
    77937    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
 1633/285    0.009    0.000    0.019    0.000 sre_compile.py:87(_compile)
     3714    0.009    0.000    0.009    0.000 CustomGym.py:83(<listcomp>)
     1026    0.009    0.000    0.084    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     1808    0.009    0.000    0.009    0.000 {built-in method torch._ops.profiler._record_function_exit}
      904    0.009    0.000    4.572    0.005 learning_agent.py:147(update_Q_online)
     5108    0.008    0.000    0.009    0.000 {built-in method __new__ of type object at 0x55ea9b2425e0}
